Date,Open,High,Low,Close,Volume
,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS
2025-10-24,16392.0,16423.0,16200.0,16274.0,208520
2025-10-27,16350.0,16410.0,16275.0,16388.0,209829
2025-10-28,16399.0,16495.0,16261.0,16311.0,383383
2025-10-29,16360.0,16428.0,16046.0,16138.0,232815
2025-10-30,16190.0,16275.0,16077.0,16206.0,230383
2025-10-31,16204.0,16516.0,15949.0,16186.0,719402
2025-11-03,16016.0,16100.0,15530.0,15651.0,942850
2025-11-04,15607.0,15633.0,15355.0,15374.0,748848
2025-11-05,15374.0,15374.0,15374.0,15374.0,0
2025-11-06,15534.0,15534.0,15309.0,15452.0,429800
2025-11-07,15459.0,15499.0,15260.0,15479.0,227247
2025-11-10,15380.0,15647.0,15380.0,15583.0,274191
2025-11-11,15640.0,15680.0,15512.0,15645.0,181524
2025-11-12,15674.0,15731.0,15555.0,15696.0,244015
2025-11-13,15661.0,15800.0,15660.0,15749.0,250711
2025-11-14,15725.0,15735.0,15572.0,15684.0,253698
2025-11-17,15689.0,15892.0,15655.0,15878.0,301069
2025-11-18,15878.0,15999.0,15750.0,15930.0,392903
2025-11-19,15950.0,15950.0,15715.0,15768.0,286434
2025-11-20,15810.0,15823.0,15618.0,15801.0,249492
2025-11-21,15790.0,16150.0,15737.0,15977.0,586351
2025-11-24,16005.0,16085.0,15911.0,15958.0,525788
2025-11-25,15958.0,16050.0,15842.0,15889.0,214525
2025-11-26,15950.0,16210.0,15950.0,16156.0,314946
2025-11-27,16166.0,16171.0,15875.0,15903.0,339986
2025-11-28,15906.0,16049.0,15850.0,15900.0,352340
2025-12-01,15975.0,16177.0,15851.0,16097.0,434052
2025-12-02,16127.0,16261.0,16095.0,16239.0,383165
2025-12-03,16219.0,16248.0,16010.0,16082.0,264397
2025-12-04,16058.0,16135.0,15887.0,15994.0,248812
2025-12-05,16000.0,16338.0,15979.0,16282.0,332032
2025-12-08,16200.0,16256.0,16094.0,16187.0,220513
2025-12-09,16051.0,16226.0,15985.0,16020.0,276388
2025-12-10,16090.0,16125.0,15925.0,16019.0,293374
2025-12-11,16049.0,16296.0,15983.0,16248.0,268701
2025-12-12,16248.0,16536.0,16247.0,16522.0,404711
2025-12-15,16500.0,16500.0,16360.0,16415.0,225221
2025-12-16,16400.0,16451.0,16320.0,16354.0,156134
2025-12-17,16389.0,16490.0,16357.0,16398.0,257406
2025-12-18,16440.0,16486.0,16221.0,16329.0,213981
2025-12-19,16329.0,16475.0,16329.0,16414.0,360190
2025-12-22,16464.0,16693.0,16414.0,16649.0,271590
2025-12-23,16709.0,16720.0,16558.0,16585.0,215650
2025-12-24,16640.0,16720.0,16542.0,16703.0,258486
2025-12-25,16703.0,16703.0,16703.0,16703.0,0
2025-12-26,16703.0,16703.0,16516.0,16596.0,212925
2025-12-29,16600.0,16682.0,16499.0,16542.0,251796
2025-12-30,16575.0,16818.0,16482.0,16647.0,1055843
2025-12-31,16581.0,16776.0,16581.0,16704.0,86473
